Trigger_ID,Target_Category,Display_Title,Threshold_Orb,Progress_Max_Days,Arrival_Text,Next_Action_Hint
LUCKY_LOVE_VENUS,Love,最高の恋愛運モード突入まで,5,14,今日は愛の女神があなたに微笑んでいます。最高の自分を表現して！,新しい服を新調したり、美容室の予約を入れて自分を磨いておきましょう。
ROMANTIC_CHANCE_MOON,Love,感性が高まるロマンス期まで,3,3,心が震えるような出会いや感動が訪れる日。素直な気持ちを大切に。,映画や音楽で感性を豊かにし、リラックスした心の状態を作ってください。
RELATIONSHIP_GLORY,Love,パートナーシップの黄金期まで,6,21,大切な人との絆が確かな形になる日。誠実な対話が未来を拓きます。,相手への感謝を言葉にする準備をし、共有できる未来の計画を考えて。
DEEP_BOND_SCORPIO,Love,魂が触れ合う濃密な時間まで,4,10,表面的な付き合いを超えた、深い信頼関係が築かれる運命の日です。,嘘偽りのない自分をさらけ出す勇気を持ち、深い対話の時間を確保して。
SOCIAL_NETWORK_EXP,Love,新しい出会いのチャンス到来まで,5,12,あなたを支える強力な仲間との出会いがある日。世界が広がります。,SNSのプロフィールを更新したり、気になるコミュニティに目星をつけて。
PASSIONATE_ENCOUNTER,Love,情熱的な恋の火が灯るまで,5,7,ドラマティックな展開が期待できる日。あなたの勇気が鍵を握ります。,アクティブな場所へ出向く準備をし、自分の情熱を隠さず表に出して。
STABLE_LOVE_FOUND,Love,信頼で結ばれる安定期まで,4,14,お互いの存在が空気のように自然に馴染む日。静かな幸福を噛み締めて。,派手な演出よりも、日常の何気ない会話や食事の時間を大切に整えて。
WORK_SUCCESS_JUPITER,Work,仕事のビッグチャンス到来まで,8,30,これまでの努力が大きな成果として実る日。自信を持って勝負に出て。,自分の成果をまとめた資料を整理し、いつでもプレゼンできる状態に。
CAREER_PEAK_MC,Work,キャリアのピークタイム到達まで,5,10,社会的な評価が最高潮に達する日。リーダーシップを発揮してください。,周囲からの信頼に応えられるよう、自身の役割と責任を再確認して。
CREATIVE_FLOW_SUN,Work,創造力が爆発する全集中期まで,6,7,唯一無二のアイデアが形になる日。あなたの個性が世界に認められます。,インスピレーションを逃さないよう、メモの準備と一人の時間の確保を。
DECISION_SPEED_UP,Work,的確な判断ができる決断期まで,4,5,迷いが晴れ、進むべき道が明確になる日。直感を信じて即断即決を。,散らかった思考やデスクを整理し、クリアな視界を確保しておきましょう。
NEGOTIATION_POWER,Work,交渉を有利に進める対話期まで,5,7,あなたの言葉が相手の心に深く届く日。重要な契約や提案に最適です。,想定される質問への回答を準備し、誠実さと論理性を磨いておいて。
BUSINESS_EXPANSION,Work,事業拡大の追い風が吹くまで,7,25,新しいステージへ進む準備が整う日。スケールの大きな提案が通ります。,既存の枠組みに囚われない、自由で大胆なビジョンを練り上げてください。
PROJECT_COMPLETION,Work,長期プロジェクトの達成日まで,5,20,一つの大きな節目を越え、達成感を味わう日。次の山が見えてきます。,これまでの工程を振り返り、関わった人々への感謝を伝えておきましょう。
MONEY_LUCK_TAURUS,Money,金運の波が最高潮に達するまで,5,14,物質的な豊かさを引き寄せる力が最大になる日。賢い選択が実を結びます。,収支のバランスを見直し、将来のための投資計画を具体的に立てて。
SAVINGS_GROWTH,Money,財政基盤が安定する蓄財期まで,6,60,無駄が削ぎ落とされ、確かな資産が積み上がる日。長期的な安心を手に。,固定費の削減や貯蓄用口座の整理など、足元を固める作業を優先して。
SELF_REFORM_URANUS,General,人生を刷新する覚醒の日まで,6,21,古い殻を脱ぎ捨て、新しい自分に生まれ変わる衝撃的な一日です。,執着しているものを手放す覚悟を決め、変化を恐れず受け入れる心構えを。
SPIRITUAL_HEALING,Health,魂のデトックスが完了するまで,4,10,心身ともに浄化され、深い癒やしが訪れる日。新しい活力が湧きます。,良質な睡眠と食事を意識し、不要な情報の入力を遮断して静かに過ごして。
FATED_TURNING_POINT,General,宿命的な転換点が訪れるまで,3,30,逃れられない大きな運命の流れが動き出す日。覚悟を決めて進んで。,身の回りを徹底的に掃除し、新しいエネルギーが入るスペースを作って。
INNER_PEACE_MOON,Health,内面の静寂を取り戻す日まで,2,3,誰にも邪魔されない心の平安が得られる日。自分を愛してください。,心地よい香りのアロマや音楽を準備し、自分を甘やかす究極の計画を。
VICTORY_MARS,General,宿敵に打ち勝ち勝利を掴むまで,4,7,どんな障害も突破できる強い力が宿る日。自分を信じて突き進んで。,戦略を綿密に立て、勝負どころを見極めるための冷静さを養っておいて。
STUDY_EFFICIENCY_MAX,Work,知性が研ぎ澄まされる学習期まで,4,7,複雑な課題を短時間で理解し、自分のものにできる知的な勝負日です。,学習計画を細かく立て、集中を妨げるものを排除した環境を整えて。
PUBLIC_RECOGNITION,Work,公的な場での脚光を浴びるまで,5,14,あなたの才能が公に認められ、信頼を勝ち取る日。堂々と振る舞って。,自己紹介や実績を語るスピーチの練習をし、プロ意識を高く持って。
FAMILY_HAPPINESS,General,家庭に平穏と喜びが戻る日まで,5,10,心安らぐ居場所が確立され、家族との絆が深まる温かな日です。,身近な人への小さなプレゼントや、共に過ごすための美味しい食事の準備を。
TALENT_DISCOVERY,General,眠れる才能が目覚める日まで,6,15,自分でも気づかなかった可能性が開花する日。新しい扉が開きます。,コンプレックスを裏返して強みに変えるワークを行い、自己対話を深めて。
HOUSE_BRIGHTENING,General,住環境が劇的に好転する日まで,5,20,居心地の良い空間が完成し、運気が底上げされる日。生活の質が向上。,不要な家具の処分や、日当たりの確保など、空間の浄化に努めてください。
GLOBAL_CONNECTION,General,広い世界との繋がりができるまで,7,30,国境や文化を越えた新しい視点が手に入る日。未知の体験が待っています。,語学の学習を始めたり、海外のニュースに触れて視野を広げておきましょう。
LEADERSHIP_AWAKENING,Work,統率力が真価を発揮する日まで,4,14,あなたの存在が周囲を導き、一つの目的に向かわせる日。誠実さが鍵。,チームメンバー一人一人の声に耳を傾け、信頼関係の土台を築いて。
MIND_BODY_BALANCE,Health,心と体の調和が完璧に整うまで,3,7,無理のないリズムが定着し、ベストパフォーマンスを出せる日です。,軽い運動と瞑想をルーティン化し、自分のバイオリズムを記録して。
SOCIAL_CONTRIBUTION,General,あなたの活動が社会に届くまで,6,25,個人的な試みが公的な価値を持ち始める日。貢献の喜びを知るでしょう。,自分のスキルが誰を救えるかを再定義し、発信の質を高めておきましょう。
DESTINY_MEETING,Love,運命を感じる人物と出会うまで,3,10,魂が引き合うような、強い引力を感じる出会いの日。逃さないで。,直感を研ぎ澄ませ、いつもとは違う場所やイベントに足を運ぶ勇気を。
